Question,Providers Required,Providers Optional,Providers Self Attestation,Providers Burden of Proof,Upstream Q's,Downstream Q's,Data Quality Notes
First and last,"Hyde Shuttle, Northshore Senior Center, Beyond the Borders, Access Paratransit, Metro Transit Instruction, ORCA",Homage TAP,,,,,
Phone,"Hyde Shuttle, Northshore Senior Center, Beyond the Borders, Access Paratransit, Metro Transit Instruction, ORCA","Homage TAP, ORCA","Hyde Shuttle, Northshore Senior Center, Beyond the Borders, Access Paratransit, Metro Transit Instruction, Homage TAP, ORCA",,,,"ORCA is listed under both Providers Required and Providers Optional for this question — a direct contradiction as stated. Not altered; requires human resolution."
Email,"Hyde Shuttle, Northshore Senior Center, ORCA (Senior), Beyond the Borders","Homage TAP, ORCA (Disabled), ORCA LIFT, Metro Transit Instruction, Access Paratransit","Hyde Shuttle, Northshore Senior Center, ORCA, Beyond the Borders, Homage TAP, Metro Transit Instruction, Access Paratransit",,,,"Self-Attestation cell originally listed 'ORCA' twice (one instance with trailing whitespace); duplicate removed. Bare 'ORCA' appears in Self-Attestation but has no corresponding entry in Required or Optional for this question — completeness gap, not resolved here."
Home address,"Hyde Shuttle, ORCA (Disabled), Beyond the Borders, Access Paratransit","Homage TAP, ORCA (Senior), ORCA LIFT","Hyde Shuttle, ORCA, Beyond the Borders, Access Paratransit, Homage TAP",,,Mailing address same as home address?,"Bare 'ORCA' appears in Self-Attestation but not in Required or Optional for this question — same completeness gap as Email row, not resolved here."
Mailing address,"Northshore Senior Center, ORCA (Senior), ORCA LIFT, Access Paratransit","Homage TAP, ORCA (Disabled)","Northshore Senior Center, ORCA, Access Paratransit, Homage TAP",,Mailing address same as home address?,,"Bare 'ORCA' in Self-Attestation not present in Required or Optional for this question — completeness gap, not resolved here."
Accessibility needs,"Hyde Shuttle, Beyond the Borders",Homage TAP,"Hyde Shuttle, Beyond the Borders, Homage TAP",,,Which provider capabilities are needed,"Downstream reference does not match any Question row in this sheet. Typo 'providercapabilities' corrected to 'provider capabilities'; link itself remains unresolved."
Gender,Hyde Shuttle,"Homage TAP, Northshore Senior Center",,,,,
Race,Hyde Shuttle,Northshore Senior Center,"Hyde Shuttle, Northshore Senior Center",,,Ethnicity,
Ethnicity,Hyde Shuttle,"Northshore Senior Center, ORCA LIFT","Hyde Shuttle, Northshore Senior Center, ORCA LIFT",,Race,,
Primary language,"Hyde Shuttle, Access Paratransit, ORCA LIFT","Homage TAP, Metro Transit Instruction","Hyde Shuttle, Access Paratransit, Homage TAP, Metro Transit Instruction, ORCA LIFT",,,,
Military service,Beyond the Borders,"Homage TAP, Northshore Senior Center","Homage TAP, Northshore Senior Center, Beyond the Borders",,,,
Income,"Homage TAP, Hyde Shuttle, ORCA LIFT, Beyond the Borders",,"Homage TAP, Hyde Shuttle, Beyond the Borders",ORCA (ProviderOne number OR EBT number OR DSHS Client ID number),,,"Proof entry references bare 'ORCA', but only 'ORCA LIFT' appears under Providers Required for this question — likely intended to reference ORCA LIFT specifically. Not changed; flagged for confirmation."
Age,"Beyond the Borders, Hyde Shuttle, ORCA",Homage TAP,"Homage TAP, Beyond the Borders, Hyde Shuttle",ORCA (Photo ID),,,
Disabled,"Hyde Shuttle, ORCA, Beyond the Borders, Access Paratransit",Homage TAP,"Homage TAP, Beyond the Borders","ORCA (State or federal documentation); Access Paratransit (signed note from doctor and in-person evaluation)",,Is the disability temporary or permanent,"Downstream reference corrected from 'Temporary or permanent disability?' to match the exact text of the corresponding Question row."
Is the disability temporary or permanent,,Homage TAP,Homage TAP,"ORCA (State or federal documentation); Access Paratransit (signed note from doctor and in-person evaluation)",Disabled,,"Upstream cell originally embedded an explanatory clause ('for ORCA, whether disability is temporary or permanent is determined by the document you upload'); link simplified to 'Disabled' and the explanation is preserved here rather than discarded. Separately: ORCA and Access Paratransit appear in Burden of Proof for this question but not in Required or Optional — completeness gap, not resolved here."
Do you need transportation to dialysis?,Beyond the Borders,,Beyond the Borders,,,,
Are you registered with Pierce SHUTTLE,Beyond the Borders,,Beyond the Borders,,,,
Do you have a ProviderOne number,,Homage TAP,,Homage TAP (Type number into textbox),,,"Homage TAP appears under both Optional and Burden of Proof. The described 'proof' (typing a number into a textbox) is applicant self-report, not third-party documentary evidence, and arguably belongs under Self-Attestation. Not moved; flagged for confirmation."
Are you currently homeless?,,ORCA LIFT,ORCA LIFT,,Home address,Mailing address,"Upstream/Downstream casing corrected to match exact Question-row text ('Home Address'->'Home address', 'Mailing Address'->'Mailing address')."
Preferred method of contact?,"ORCA LIFT, ORCA (Disabled), Beyond the Borders",Metro Transit Instruction,"ORCA LIFT, ORCA (Disabled), Beyond the Borders, Metro Transit Instruction",,,,
May we leave a message?,"ORCA LIFT, ORCA (Disabled)",,,,Preferred method of contact?,,"Upstream reference corrected from 'Preferred Method of Contact' to match exact Question-row text, including trailing '?'."
